name,transliteration,isolated,initial,medial,final,comment
alif,a/aa,ا,ا,ـا,ـا,lange 'a' of klinkerdrager
baa,b,ب,بـ,ـبـ,ـب,als Nederlandse 'b'
taa,t,ت,تـ,ـتـ,ـت,als Nederlandse 't'
thaa,th,ث,ثـ,ـثـ,ـث,als Engelse 'th' in 'think'
jiim,j,ج,جـ,ـجـ,ـج,als Nederlandse 'dj'
haa,h,ح,حـ,ـحـ,ـح,diepe keel-h; geen Nederlands equivalent
khaa,kh,خ,خـ,ـخـ,ـخ,als Nederlandse 'g' in 'gracht'
daal,d,د,د,ـد,ـد,als Nederlandse 'd'
dhaal,dh,ذ,ذ,ـذ,ـذ,als Engelse 'th' in 'the'
raa,r,ر,ر,ـر,ـر,rollende 'r'
zaay,z,ز,ز,ـز,ـز,als Nederlandse 'z'
siin,s,س,سـ,ـسـ,ـس,als Nederlandse 's'
shiin,sh,ش,شـ,ـشـ,ـش,als Nederlandse 'sj'
saad,s (emfatisch),ص,صـ,ـصـ,ـص,zware 's'; tong tegen gehemelte
daad,d (emfatisch),ض,ضـ,ـضـ,ـض,zware 'd'; tong tegen gehemelte
taa (emfatisch),t (emfatisch),ط,طـ,ـطـ,ـط,zware 't'; tong tegen gehemelte
dhaa (emfatisch),dh (emfatisch),ظ,ظـ,ـظـ,ـظ,zware 'dh'
'ayn,',ع,عـ,ـعـ,ـع,diep keelgeluid; uniek voor Arabisch
ghayn,gh,غ,غـ,ـغـ,ـغ,als Franse 'r' achter in de keel
faa,f,ف,فـ,ـفـ,ـف,als Nederlandse 'f'
qaaf,q,ق,قـ,ـقـ,ـق,diepe 'k' achter in de keel
kaaf,k,ك,كـ,ـكـ,ـك,als Nederlandse 'k'
laam,l,ل,لـ,ـلـ,ـل,als Nederlandse 'l'
miim,m,م,مـ,ـمـ,ـم,als Nederlandse 'm'
nuun,n,ن,نـ,ـنـ,ـن,als Nederlandse 'n'
haa (licht),h,ه,هـ,ـهـ,ـه,lichte 'h' als in 'huis'
waaw,w/uu,و,و,ـو,ـو,als 'w' of lange 'oe'
yaa,y/ii,ي,يـ,ـيـ,ـي,als 'j' of lange 'ie'
