dutch,arabic,transliteration,comment
groot,كبير,kabiir,mannelijke vorm; vrouw: kabiira
vrouw,امرأة,imra'a,
man,رجل,rajul,
meisje,فتاة,fataat,
snel,سريع,sarii',mannelijke vorm; vrouw: sarii'a
koud,بارد,baarid,mannelijke vorm; vrouw: baarida
vis,سمك,samak,
kip,دجاج,dajaaj,
buurman,جار,jaar,
echtgenoot,زوج,zawj,vrouw: زوجة (zawja)
ik,أنا,ana,
jij,أنت,anta,mannelijke vorm; vrouw: anti
hij,هو,huwa,
zij,هي,hiya,
wij,نحن,nahnu,
jullie,أنتم,antum,
zij (meervoud),هم,hum,
dit,هذا,haadha,mannelijke vorm; vrouw: haadhihi
dat,ذلك,dhaalika,
en,و,wa,
ja,نعم,na'am,
nee,لا,laa,
wat,ماذا,maadha,
wie,من,man,
waar,أين,ayna,
huis,بيت,bayt,
boek,كتاب,kitaab,
water,ماء,maa',
eten,طعام,ta'aam,
brood,خبز,khubz,
melk,حليب,haliib,
thee,شاي,shaay,
koffie,قهوة,qahwa,
school,مدرسة,madrasa,
werk,عمل,'amal,
vriend,صديق,sadiiq,mannelijke vorm; vrouw: sadiiqah
kind,طفل,tifl,
dag,يوم,yawm,
nacht,ليلة,layla,
klein,صغير,saghiir,mannelijke vorm; vrouw: saghiira
goed,جيد,jayyid,mannelijke vorm; vrouw: jayyida
leraar,معلم,mu'allim,vrouw: mu'allima
slim,ذكي,dhaki,mannelijke vorm; vrouw: dhakiyya
jongen,ولد,walad,
jij bent,أنت,anta,mannelijke vorm; vrouw: anti
waarvandaan,من أين,min ayna,
dank je/u,شكرا,shukran,
dank u,شكرا لك,shukran lak,
hallo,مرحبا,marhaban,
geen dank,لا شكر على واجب,la shukra 'ala waajib,formeel
slecht,سيئ,sayyi',mannelijke vorm; vrouw: sayyi'a
ik heb,عندي,'indi,
zij heeft,عندها,'indaha,
land,بلد,balad,
waar kom jij vandaan,من أين أنت,min ayna anta,mannelijke vorm; vrouw: min ayna anti
tot ziens,إلى اللقاء,ila al-liqaa',
