dutch,arabic,transliteration,comment
hallo,مرحباً,marhaban,
hallo (informeel),أهلاً,ahlan,
vrede zij met u,السلام عليكم,as-salaamu 'alaykum,islamitische groet; universeel begrepen
en vrede zij met u (antwoord),وعليكم السلام,wa 'alaykum as-salaam,standaard antwoord op as-salaamu 'alaykum
goedemorgen,صباح الخير,sabaah al-khayr,
goedemorgen (antwoord),صباح النور,sabaah an-nuur,letterlijk: ochtend van licht
goedenavond,مساء الخير,masaa' al-khayr,
goedenavond (antwoord),مساء النور,masaa' an-nuur,
goedenacht,تصبح على خير,tusbih 'ala khayr,tegen een man; vrouw: tusbihin 'ala khayr
welkom,أهلاً وسهلاً,ahlan wa sahlan,zeer gastvrije begroeting
hoe gaat het met u,كيف حالك,kayfa haalak,mannelijke vorm; vrouw: kayfa haalik
goed (het gaat goed),بخير,bikhayr,vaak voorafgegaan door alhamdulillah
en met u?,وأنت؟,wa anta?,mannelijke vorm; vrouw: wa anti?
tot ziens,مع السلامة,ma'a as-salaama,letterlijk: met veiligheid
tot morgen,إلى الغد,ila al-ghad,formeel MSA
alstublieft,من فضلك,min fadlak,mannelijke vorm; vrouw: min fadlik
dank u wel,شكراً جزيلاً,shukran jaziilan,
dank u,شكراً,shukran,
geen dank,عفواً,'afwan,betekent ook: pardon/excuseer
graag gedaan,لا شكر على واجب,la shukra 'ala waajib,formeel; letterlijk: geen dank voor een plicht
sorry,آسف,aasif,mannelijke vorm; vrouw: aasifa
het spijt me,أنا آسف,ana aasif,mannelijke vorm; vrouw: ana aasifa
pardon,عفواً,'afwan,zelfde woord als 'geen dank'
mijn naam is...,اسمي...,ismi...,
hoe heet u,ما اسمك,ma ismak,mannelijke vorm; vrouw: ma ismuki
aangenaam,تشرفنا,tasharrafna,letterlijk: wij zijn vereerd
ik begrijp het niet,لا أفهم,la afham,
ik spreek geen Arabisch,لا أتكلم العربية,la atakallam al-'arabiyya,
spreekt u Engels,هل تتكلم الإنجليزية,hal tatakallam al-injiliiziyya,mannelijke vorm; vrouw: hal tatakallamin
herhaal dat alstublieft,أعد من فضلك,a'id min fadlak,mannelijke vorm; vrouw: a'iidi min fadlik
spreek langzamer alstublieft,تكلم ببطء من فضلك,takallam bibut' min fadlak,mannelijke vorm; vrouw: takallami
wat betekent dit,ماذا يعني هذا,maadha ya'ni haadha,
ik weet het niet,لا أعرف,la a'rif,
als God het wil,إن شاء الله,in shaa' allah,zeer veelgebruikt; drukt hoop/intentie uit
gefeliciteerd,مبروك,mabruuk,antwoord: allah yubaarik fiik
ga uw gang,تفضل,tafaddal,mannelijke vorm; vrouw: tafaddali
hoe gaat het (Marokkaans),لاباس؟,labaas?,Marokkaans dialect (Darija)
hallo hoe gaat het (Levantijns),كيفك,kiifak,Levantijns dialect; vrouw: kiifik
goed (Levantijns),منيح,mniih,Levantijns dialect (Syrië/Libanon/Jordanië)
geen probleem,لا مشكلة,la mushkila,
natuurlijk,طبعاً,tab'an,
