dutch,arabic,transliteration,comment
moeder,أم,umm,informeel: mama
vader,أب,ab,informeel: baba
broer,أخ,akh,
zus,أخت,ukht,
zoon,ابن,ibn,
dochter,بنت,bint,betekent ook: meisje
opa,جد,jadd,
oma,جدة,jadda,
oom (vader's kant),عم,'amm,
tante (vader's kant),عمة,'amma,
oom (moeder's kant),خال,khaal,
tante (moeder's kant),خالة,khaala,
neef/nicht,ابن عم,ibn 'amm,specifiek: neef van vaders kant
lang,طويل,tawiil,mannelijke vorm; vrouw: tawiila
kort,قصير,qasiir,mannelijke vorm; vrouw: qasiira
jong,شاب,shaab,mannelijke vorm; vrouw: shaabba; ook: jongeman
mooi,جميل,jamiil,mannelijke vorm; vrouw: jamiila
sterk,قوي,qawi,mannelijke vorm; vrouw: qawiyya
hoofd,رأس,ra's,
hand,يد,yad,vrouwelijk woord in het Arabisch
oog,عين,'ayn,vrouwelijk woord; meervoud: 'uyuun
mond,فم,fam,
hart,قلب,qalb,
neus,أنف,anf,
oor,أذن,udhun,
buik,بطن,batn,
in de naam van God,بسم الله,bismillah,gezegd voor het eten of starten van iets
God zij dank,الحمد لله,alhamdulillah,bij goed nieuws; na het eten; na niezen
wat God wil (bewondering),ما شاء الله,maa shaa' allah,ter bewondering; beschermt tegen boze oog
God is groot,الله أكبر,allahu akbar,letterlijk: God is de grootste
moge God het vergemakkelijken,الله يسهل,allah yisahhil,informeel/dialectaal
moge God je beschermen,الله يحفظك,allah yahfazak,mannelijke vorm; vrouw: yahfazik
blij,سعيد,sa'iid,mannelijke vorm; vrouw: sa'iida
verdrietig,حزين,haziiin,mannelijke vorm; vrouw: haziina
moe,تعبان,ta'baan,mannelijke vorm; vrouw: ta'baana; informeel
hongerig,جوعان,jaw'aan,mannelijke vorm; vrouw: jaw'aana; informeel
dorstig,عطشان,'atshaan,mannelijke vorm; vrouw: 'atshaana; informeel
ziek,مريض,mariid,mannelijke vorm; vrouw: mariida
boos,غاضب,ghaadib,mannelijke vorm; vrouw: ghaadiba
bang,خائف,khaa'if,mannelijke vorm; vrouw: khaa'ifa
