dutch,italian,comment
hallo,ciao,informeel; ook afscheid
hallo (formeel),salve,neutraal en formeel
goedemorgen,buongiorno,ook goedemiddag tot circa 17u
goedenavond,buonasera,
goedenacht,buonanotte,
tot ziens,arrivederci,formeel; informeel: a presto
tot later,a dopo,
tot morgen,a domani,
welkom,benvenuto,vrouwelijk: benvenuta
hoe gaat het?,come stai?,informeel; formeel: come sta?
goed dank je,bene grazie,
en met jou?,e tu?,informeel; formeel: e Lei?
alstublieft (verzoek),per favore,
alstublieft (aanreiken),prego,ook: geen dank
dank je wel,grazie mille,letterlijk: duizend bedankjes
dank u,grazie,
geen dank,prego,ook: alstublieft bij aanreiken
pardon,scusi,formeel; informeel: scusa
sorry,mi dispiace,
gefeliciteerd,congratulazioni,
veel plezier,buon divertimento,
smakelijk eten,buon appetito,
proost,salute,ook: cin cin (informeel)
