dutch,italian,comment
brood,pane,
pasta,pasta,
rijst,riso,
vlees,carne,
kip,pollo,
vis,pesce,
ei,uovo,meervoud: uova (onregelmatig)
kaas,formaggio,
pizza,pizza,
soep,zuppa,ook: minestra (dunner)
salade,insalata,
ham,prosciutto,
worst,salame,
boter,burro,
olijfolie,olio d'oliva,
tomaat,pomodoro,letterlijk: gouden appel
ui,cipolla,
knoflook,aglio,
aardappel,patata,
fruit,frutta,
appel,mela,
sinaasappel,arancia,
citroen,limone,
banaan,banana,
druiven,uva,
water,acqua,
wijn,vino,
bier,birra,
koffie,caffè,espresso is de standaard
thee,tè,
melk,latte,
sap,succo,
suiker,zucchero,
zout,sale,
peper,pepe,
