dutch,italian,comment
maandag,lunedì,
dinsdag,martedì,
woensdag,mercoledì,
donderdag,giovedì,
vrijdag,venerdì,
zaterdag,sabato,
zondag,domenica,
vandaag,oggi,
morgen,domani,
gisteren,ieri,
overmorgen,dopodomani,
eergisteren,l'altro ieri,
week,settimana,
maand,mese,
jaar,anno,
ochtend,mattina,
middag,pomeriggio,
avond,sera,
nacht,notte,
uur,ora,
minuut,minuto,
nu,adesso,ook: ora
later,dopo,
één,uno,vrouwelijk: una
twee,due,
drie,tre,
vier,quattro,
vijf,cinque,
zes,sei,
zeven,sette,
acht,otto,
negen,nove,
tien,dieci,
elf,undici,
twaalf,dodici,
twintig,venti,
dertig,trenta,
honderd,cento,
duizend,mille,meervoud: mila
eerste,primo,vrouwelijk: prima
tweede,secondo,vrouwelijk: seconda
