dutch,italian,comment
winkel,negozio,
markt,mercato,
supermarkt,supermercato,
apotheek,farmacia,
bakker,panetteria,
slager,macelleria,
prijs,prezzo,
goedkoop,economico,ook: a buon mercato
duur,caro,vrouwelijk: cara
korting,sconto,
geld,soldi,ook: denaro
betalen,pagare,
kopen,comprare,
hoeveel?,quanto?,vrouwelijk: quanta?
ik zoek...,cerco...,
heeft u...?,ha...?,formeel
maat (kleding),taglia,
maat (schoenen),numero,
kleren,vestiti,ook: abbigliamento
schoenen,scarpe,enkelvoud: scarpa
tas,borsa,
rugzak,zaino,
groot,grande,
klein,piccolo,vrouwelijk: piccola
past het?,va bene?,ook letterlijk: gaat het goed?
ik neem het.,lo prendo.,vrouwelijk object: la prendo
kunt u inpakken?,può incartare?,
kassabon,scontrino,
open,aperto,vrouwelijk: aperta
gesloten,chiuso,vrouwelijk: chiusa
