dutch,japanese,romaji,comment,example,example_nl
groot,おおきい,ookii,i-bijvoeglijk naamwoord,おおきいいえ,groot huis
vrouw,おんな,onna,,おんなのひと,vrouw (persoon)
man,おとこ,otoko,,おとこのひと,man (persoon)
meisje,おんなのこ,onnanoko,,,
snel,はやい,hayai,i-bijvoeglijk naamwoord,,
koud,さむい,samui,i-bijvoeglijk naamwoord,,
vis,さかな,sakana,,さかながすきです,ik hou van vis
kip,とりにく,toriniku,letterlijk: vogelvlees,,
buurman,となり,tonari,de buren/naast,,
echtgenoot,おっと,otto,eigen echtgenoot,,
ik,わたし,watashi,,わたしはオランダじんです,ik ben Nederlands
jij,あなた,anata,wordt vaak weggelaten,,
hij,かれ,kare,,,
zij,かのじょ,kanojo,,,
wij,わたしたち,watashitachi,,,
jullie,あなたたち,anatatachi,wordt zelden gebruikt,,
zij (meervoud),かれら,karera,,,
dit,これ,kore,,これはなんですか,wat is dit?
dat,あれ,are,ver weg; それ (sore) = dichterbij,,
en,と,to,tussen zelfstandige naamwoorden,,
ja,はい,hai,,,
nee,いいえ,iie,,,
wat,なに,nani,ook: なん (nan),,
wie,だれ,dare,,だれですか,wie is het?
waar,どこ,doko,,どこですか,waar is het?
huis,いえ,ie,ook: うち (uchi),,
boek,ほん,hon,,ほんをよむ,een boek lezen
water,みず,mizu,,みずをください,water alstublieft
eten,たべる,taberu,werkwoord (ru-groep),なにをたべますか,wat eet je?
brood,パン,pan,leenwoord uit het Portugees,,
melk,ぎゅうにゅう,gyuunyuu,,,
thee,おちゃ,ocha,met prefix お,,
koffie,コーヒー,koohii,leenwoord,,
school,がっこう,gakkou,,がっこうにいく,naar school gaan
werk,しごと,shigoto,,しごとをする,werken
vriend,ともだち,tomodachi,,,
kind,こども,kodomo,,,
dag,ひ,hi,ook: にち (nichi),,
nacht,よる,yoru,,,
klein,ちいさい,chiisai,i-bijvoeglijk naamwoord,,
goed,いい,ii,ook: よい (yoi),,
leraar,せんせい,sensei,,,
slim,あたまがいい,atama ga ii,letterlijk: goed hoofd,,
jongen,おとこのこ,otokonoko,,,
jij bent,あなたは,anata wa,は = deeltje 'wa',,
waarvandaan,どこから,doko kara,,どこからきましたか,waar kom je vandaan?
dank je/u,ありがとう,arigatou,informeel,,
dank u,ありがとうございます,arigatou gozaimasu,formeel,,
hallo,こんにちは,konnichiwa,,,
geen dank,どういたしまして,dou itashimashite,,,
slecht,わるい,warui,i-bijvoeglijk naamwoord,,
ik heb,もっている,motteiru,letterlijk: vasthouden,,
zij heeft,かのじょはもっている,kanojo wa motteiru,,,
land,くに,kuni,,,
waar kom jij vandaan,どこからきましたか,doko kara kimashita ka,,,
tot ziens,さようなら,sayounara,,,
