dutch,japanese,romaji,comment,example,example_nl
hallo,こんにちは,konnichiwa,overdag,,
hallo (informeel),やあ,yaa,onder vrienden,,
goedemorgen,おはようございます,ohayou gozaimasu,formeel,,
goedemorgen (informeel),おはよう,ohayou,informeel,,
goedenavond,こんばんは,konbanwa,,,
goedenacht,おやすみなさい,oyasuminasai,formeel,,
goedenacht (informeel),おやすみ,oyasumi,informeel,,
welkom,ようこそ,youkoso,,ようこそにほんへ,welkom in Japan
hoe gaat het met u,おげんきですか,ogenki desu ka,formeel,,
goed (het gaat goed),げんきです,genki desu,,,
tot ziens,さようなら,sayounara,,,
tot morgen,またあした,mata ashita,,,
alstublieft,おねがいします,onegaishimasu,bij een verzoek,,
alstublieft (geven),どうぞ,douzo,bij iets aanbieden,,
dank u wel,ありがとうございます,arigatou gozaimasu,formeel,,
dank u (informeel),ありがとう,arigatou,informeel,,
geen dank,どういたしまして,dou itashimashite,,,
graag gedaan,いいえ,iie,letterlijk: nee,,
sorry,すみません,sumimasen,ook: excuseer,,
het spijt me,ごめんなさい,gomen nasai,,,
pardon,しつれいします,shitsurei shimasu,letterlijk: ik ben onbeleefd,,
mijn naam is...,わたしは...です,watashi wa ... desu,...に名前を入れる,,
hoe heet u,おなまえは,onamae wa,formeel,,
aangenaam,はじめまして,hajimemashite,bij eerste ontmoeting,,
ik begrijp het niet,わかりません,wakarimasen,,,
ik spreek geen Japans,にほんごがはなせません,nihongo ga hanasemasen,,,
spreekt u Engels,えいごをはなせますか,eigo wo hanasemasu ka,,,
herhaal dat alstublieft,もういちどおねがいします,mou ichido onegaishimasu,,,
spreek langzamer alstublieft,もっとゆっくりおねがいします,motto yukkuri onegaishimasu,,,
wat betekent dit,これはどういういみですか,kore wa dou iu imi desu ka,,,
ik weet het niet,わかりません,wakarimasen,ook: しりません (shirimasen),,
gefeliciteerd,おめでとうございます,omedetou gozaimasu,formeel,,
gefeliciteerd (informeel),おめでとう,omedetou,informeel,,
geen probleem,だいじょうぶです,daijoubu desu,,,
natuurlijk,もちろん,mochiron,,,
tot later,またね,mata ne,informeel,,
tot straks,じゃあまた,jaa mata,informeel,,
lang niet gezien,ひさしぶり,hisashiburi,informeel,,
pas goed op jezelf,きをつけて,ki wo tsukete,,,
veel plezier,たのしんで,tanoshinde,,,
ik ga,いってきます,ittekimasu,als je weggaat uit huis,,
welkom thuis,おかえりなさい,okaerinasai,tegen iemand die thuiskomt,,
