dutch,japanese,romaji,comment,example,example_nl
rijst,ごはん,gohan,ook: maaltijd in het algemeen,,
vlees,にく,niku,,,
kip,とりにく,toriniku,letterlijk: vogelvlees,,
vis,さかな,sakana,,さかながすきです,ik hou van vis
brood,パン,pan,leenwoord uit het Portugees,,
ei,たまご,tamago,,,
kaas,チーズ,chiizu,leenwoord,,
boter,バター,bataa,leenwoord,,
soep,スープ,suupu,leenwoord; ook: みそしる (misoshiru),,
salade,サラダ,sarada,leenwoord,,
tofu,とうふ,toufu,sojabonen product,,
tomaat,トマト,tomato,leenwoord,,
komkommer,きゅうり,kyuuri,,,
ui,たまねぎ,tamanegi,,,
knoflook,にんにく,ninniku,,,
aardappel,じゃがいも,jagaimo,,,
fruit,くだもの,kudamono,,,
appel,りんご,ringo,,,
sinaasappel,オレンジ,orenji,leenwoord; ook: みかん (mikan),,
citroen,レモン,remon,leenwoord,,
banaan,バナナ,banana,leenwoord,,
druiven,ぶどう,budou,,,
noten,ナッツ,nattsu,leenwoord,,
water,みず,mizu,,みずをください,water alstublieft
sap,ジュース,juusu,leenwoord,,
koffie,コーヒー,koohii,leenwoord,,
thee,おちゃ,ocha,groene thee,,
melk,ぎゅうにゅう,gyuunyuu,,,
suiker,さとう,satou,,,
het menu alstublieft,メニューをおねがいします,menyuu wo onegaishimasu,,,
de rekening alstublieft,おかいけいおねがいします,okaikei onegaishimasu,,,
ik wil graag...,…をおねがいします,... wo onegaishimasu,,,
heeft u...,…はありますか,... wa arimasu ka,,,
zonder vlees,にくなしで,niku nashi de,,,
ik ben vegetarisch,べジタリアンです,bejitarian desu,leenwoord,,
nog een keer alstublieft,もういちどおねがいします,mou ichido onegaishimasu,,,
lekker,おいしい,oishii,i-bijvoeglijk naamwoord,,
pikant,からい,karai,i-bijvoeglijk naamwoord,,
zoet,あまい,amai,i-bijvoeglijk naamwoord,,
zuur,すっぱい,suppai,i-bijvoeglijk naamwoord,,
zout (smaak),しおからい,shiokarai,i-bijvoeglijk naamwoord,,
bitter,にがい,nigai,i-bijvoeglijk naamwoord,,
eetsmakelijk!,いただきます,itadakimasu,zeg je voor het eten,,
genoeg,じゅうぶん,juubun,,,
restaurant,レストラン,resutoran,leenwoord,,
ontbijt,あさごはん,asagohan,letterlijk: ochtend-rijst,,
lunch,ひるごはん,hirugohan,letterlijk: middag-rijst,,
avondeten,ばんごはん,bangohan,letterlijk: avond-rijst,,
eetstokjes,はし,hashi,,はしをつかう,eetstokjes gebruiken
