dutch,japanese,romaji,comment,example,example_nl
moeder,おかあさん,okaasan,andermans moeder; eigen: はは (haha),,
vader,おとうさん,otousan,andermans vader; eigen: ちち (chichi),,
broer (ouder),おにいさん,oniisan,oudere broer,,
broer (jonger),おとうと,otouto,jongere broer,,
zus (ouder),おねえさん,oneesan,oudere zus,,
zus (jonger),いもうと,imouto,jongere zus,,
zoon,むすこ,musuko,,,
dochter,むすめ,musume,,,
opa,おじいさん,ojiisan,,,
oma,おばあさん,obaasan,,,
oom,おじさん,ojisan,,,
tante,おばさん,obasan,,,
neef/nicht,いとこ,itoko,,,
lang,たかい,takai,ook: hoog/duur,,
kort,ひくい,hikui,i-bijvoeglijk naamwoord,,
jong,わかい,wakai,i-bijvoeglijk naamwoord,,
mooi,きれい,kirei,na-bijvoeglijk naamwoord,,
sterk,つよい,tsuyoi,i-bijvoeglijk naamwoord,,
hoofd,あたま,atama,,,
hand,て,te,,,
oog,め,me,,,
mond,くち,kuchi,,,
hart,こころ,kokoro,ook: geest/ziel,,
neus,はな,hana,zelfde uitspraak als bloem,,
oor,みみ,mimi,,,
buik,おなか,onaka,,おなかがすいた,ik heb honger
blij,うれしい,ureshii,i-bijvoeglijk naamwoord,,
verdrietig,かなしい,kanashii,i-bijvoeglijk naamwoord,,
moe,つかれた,tsukareta,verleden tijd van つかれる,,
hongerig,おなかがすいた,onaka ga suita,letterlijk: buik is leeg,,
dorstig,のどがかわいた,nodo ga kawaita,letterlijk: keel is droog,,
ziek,びょうき,byouki,zelfstandig naamwoord + です,,
boos,おこっている,okotteiru,,,
bang,こわい,kowai,i-bijvoeglijk naamwoord,,
baby,あかちゃん,akachan,,,
echtgenoot,おっと,otto,eigen echtgenoot,,
echtgenote,つま,tsuma,eigen echtgenote,,
familie,かぞく,kazoku,,,
vriend,ともだち,tomodachi,,,
kind,こども,kodomo,,,
