dutch,japanese,romaji,comment,example,example_nl
links,ひだり,hidari,,ひだりにまがる,linksaf slaan
rechts,みぎ,migi,,みぎにまがる,rechtsaf slaan
rechtdoor,まっすぐ,massugu,,,
dichtbij,ちかい,chikai,i-bijvoeglijk naamwoord,,
ver,とおい,tooi,i-bijvoeglijk naamwoord,,
hier,ここ,koko,,,
daar,あそこ,asoko,ver weg; そこ (soko) = dichterbij,,
taxi,タクシー,takushii,leenwoord,,
bus,バス,basu,leenwoord,,
trein,でんしゃ,densha,,でんしゃにのる,de trein nemen
vliegveld,くうこう,kuukou,,,
station,えき,eki,,えきはどこですか,waar is het station?
kaartje,きっぷ,kippu,,きっぷをかう,een kaartje kopen
weg,みち,michi,ook: どうろ (douro),,
hotel,ホテル,hoteru,leenwoord,,
ziekenhuis,びょういん,byouin,,,
apotheek,やっきょく,yakkyoku,,,
tempel,おてら,otera,boeddhistisch,,
schrijn,じんじゃ,jinja,shintoistisch,,
strand,うみ,umi,ook: zee,,
stadscentrum,まちのちゅうしん,machi no chuushin,,,
politiebureau,こうばん,kouban,kleine politiepost,,
waar is...?,…はどこですか,... wa doko desu ka,,えきはどこですか,waar is het station?
hoe kom ik bij...?,…にはどういけばいいですか,... ni wa dou ikeba ii desu ka,,,
hoe ver is het?,どのくらいかかりますか,dono kurai kakarimasu ka,letterlijk: hoe lang duurt het,,
stop hier alstublieft,ここでとめてください,koko de tomete kudasai,,,
ik wil naar...,…にいきたいです,... ni ikitai desu,,,
draai links,ひだりにまがってください,hidari ni magatte kudasai,,,
draai rechts,みぎにまがってください,migi ni magatte kudasai,,,
ik heb een reservering,よやくがあります,yoyaku ga arimasu,,,
een nacht,いっぱく,ippaku,telvorm voor nachten,,
twee nachten,にはく,nihaku,,,
kamer,へや,heya,,,
sleutel,かぎ,kagi,,,
uitchecken,チェックアウト,chekkuauto,leenwoord,,
help!,たすけて!,tasukete!,,,
politie,けいさつ,keisatsu,,,
dokter,いしゃ,isha,,,
ik ben verdwaald,みちにまよいました,michi ni mayoimashita,,,
ik heb... nodig,…がひつようです,... ga hitsuyou desu,,,
bel een ambulance,きゅうきゅうしゃをよんでください,kyuukyuusha wo yonde kudasai,,,
het is een noodgeval,きんきゅうです,kinkyuu desu,,,
