dutch,japanese,romaji,comment,example,example_nl
maandag,げつようび,getsuyoubi,,,
dinsdag,かようび,kayoubi,,,
woensdag,すいようび,suiyoubi,,,
donderdag,もくようび,mokuyoubi,,,
vrijdag,きんようび,kinyoubi,,,
zaterdag,どようび,doyoubi,,,
zondag,にちようび,nichiyoubi,,,
vandaag,きょう,kyou,,きょうはなんようびですか,welke dag is het vandaag?
morgen,あした,ashita,,,
gisteren,きのう,kinou,,,
ochtend,あさ,asa,,,
avond,ばん,ban,ook: よる (yoru),,
uur,じ,ji,achtervoegsel: いちじ = 1 uur,,
minuut,ふん,fun,ook: ぷん (pun) afhankelijk van getal,,
nu,いま,ima,,いまなんじですか,hoe laat is het nu?
later,あとで,atode,,,
lente,はる,haru,,,
zomer,なつ,natsu,,,
herfst,あき,aki,,,
winter,ふゆ,fuyu,,,
heet,あつい,atsui,i-bijvoeglijk naamwoord; weer,,
koud,さむい,samui,i-bijvoeglijk naamwoord; weer,,
regen,あめ,ame,,あめがふっている,het regent
zon,たいよう,taiyou,ook: ひ (hi),,
wind,かぜ,kaze,zelfde klank als verkoudheid,,
mooi weer,いいてんき,ii tenki,,きょうはいいてんきですね,mooi weer vandaag he
rood,あかい,akai,i-bijvoeglijk naamwoord,,
blauw,あおい,aoi,i-bijvoeglijk naamwoord,,
groen,みどり,midori,zelfstandig naamwoord,,
geel,きいろい,kiiroi,i-bijvoeglijk naamwoord,,
zwart,くろい,kuroi,i-bijvoeglijk naamwoord,,
wit,しろい,shiroi,i-bijvoeglijk naamwoord,,
oranje,オレンジ,orenji,leenwoord,,
bruin,ちゃいろい,chairoi,i-bijvoeglijk naamwoord,,
roze,ピンク,pinku,leenwoord,,
paars,むらさき,murasaki,,,
een,いち,ichi,,,
twee,に,ni,,,
drie,さん,san,,,
vier,よん,yon,ook: し (shi),,
vijf,ご,go,,,
zes,ろく,roku,,,
zeven,なな,nana,ook: しち (shichi),,
acht,はち,hachi,,,
negen,きゅう,kyuu,ook: く (ku),,
tien,じゅう,juu,,,
elf,じゅういち,juuichi,,,
twaalf,じゅうに,juuni,,,
dertien,じゅうさん,juusan,,,
veertien,じゅうよん,juuyon,,,
vijftien,じゅうご,juugo,,,
zestien,じゅうろく,juuroku,,,
zeventien,じゅうなな,juunana,,,
achttien,じゅうはち,juuhachi,,,
negentien,じゅうきゅう,juukyuu,,,
twintig,にじゅう,nijuu,,,
dertig,さんじゅう,sanjuu,,,
veertig,よんじゅう,yonjuu,,,
vijftig,ごじゅう,gojuu,,,
honderd,ひゃく,hyaku,,,
duizend,せん,sen,,,
